index,x,y,z,distance_to_origin,u1,v1,u2,v2,distance_between_params
117,1.066332,0.000000,0.000000,1.066332,0.000000,0.066332,6.283185,-0.066332,2.613022e-16
118,1.070352,0.000000,0.000000,1.070352,0.000000,0.070352,6.283185,-0.070352,2.623021e-16
119,1.074372,0.000000,0.000000,1.074372,0.000000,0.074372,6.283185,-0.074372,2.633028e-16
120,1.078392,0.000000,0.000000,1.078392,0.000000,0.078392,6.283185,-0.078392,3.451964e-16
121,1.082412,0.000000,0.000000,1.082412,0.000000,0.082412,6.283185,-0.082412,2.653065e-16
122,1.086432,0.000000,0.000000,1.086432,0.000000,0.086432,6.283185,-0.086432,2.663096e-16
123,1.090452,0.000000,0.000000,1.090452,0.000000,0.090452,6.283185,-0.090452,2.673134e-16
124,1.094472,0.000000,0.000000,1.094472,0.000000,0.094472,6.283185,-0.094472,2.683180e-16
125,1.098492,0.000000,0.000000,1.098492,0.000000,0.098492,6.283185,-0.098492,2.693233e-16
126,1.102513,0.000000,0.000000,1.102513,0.000000,0.102513,6.283185,-0.102513,2.703294e-16
127,1.106533,0.000000,0.000000,1.106533,0.000000,0.106533,6.283185,-0.106533,3.506096e-16
128,1.110553,0.000000,0.000000,1.110553,0.000000,0.110553,6.283185,-0.110553,2.723437e-16
129,1.114573,0.000000,0.000000,1.114573,0.000000,0.114573,6.283185,-0.114573,2.733520e-16
130,1.118593,0.000000,0.000000,1.118593,0.000000,0.118593,6.283185,-0.118593,2.743609e-16
131,1.122613,0.000000,0.000000,1.122613,0.000000,0.122613,6.283185,-0.122613,2.753706e-16
132,1.126633,0.000000,0.000000,1.126633,0.000000,0.126633,6.283185,-0.126633,2.763810e-16
133,1.130653,0.000000,0.000000,1.130653,0.000000,0.130653,6.283185,-0.130653,2.773920e-16
134,1.134673,0.000000,0.000000,1.134673,0.000000,0.134673,6.283185,-0.134673,2.784038e-16
135,1.138693,0.000000,0.000000,1.138693,0.000000,0.138693,6.283185,-0.138693,2.794162e-16
136,1.142714,0.000000,0.000000,1.142714,0.000000,0.142714,6.283185,-0.142714,2.804293e-16
137,1.146734,0.000000,0.000000,1.146734,0.000000,0.146734,6.283185,-0.146734,2.814430e-16
138,1.150754,0.000000,0.000000,1.150754,0.000000,0.150754,6.283185,-0.150754,2.824574e-16
139,1.154774,0.000000,0.000000,1.154774,0.000000,0.154774,6.283185,-0.154774,2.834724e-16
140,1.158794,0.000000,0.000000,1.158794,0.000000,0.158794,6.283185,-0.158794,3.608840e-16
141,1.162814,0.000000,0.000000,1.162814,0.000000,0.162814,6.283185,-0.162814,2.855044e-16
142,1.166834,0.000000,0.000000,1.166834,0.000000,0.166834,6.283185,-0.166834,2.865213e-16
143,1.170854,0.000000,0.000000,1.170854,0.000000,0.170854,6.283185,-0.170854,2.875389e-16
144,1.174874,0.000000,0.000000,1.174874,0.000000,0.174874,6.283185,-0.174874,3.641002e-16
145,1.178894,0.000000,0.000000,1.178894,0.000000,0.178894,6.283185,-0.178894,2.895758e-16
146,1.182915,0.000000,0.000000,1.182915,0.000000,0.182915,6.283185,-0.182915,2.905952e-16
147,1.186935,0.000000,0.000000,1.186935,0.000000,0.186935,6.283185,-0.186935,2.916151e-16
148,1.190955,0.000000,0.000000,1.190955,0.000000,0.190955,6.283185,-0.190955,3.673410e-16
149,1.194975,0.000000,0.000000,1.194975,0.000000,0.194975,6.283185,-0.194975,2.936568e-16
150,1.198995,0.000000,0.000000,1.198995,0.000000,0.198995,6.283185,-0.198995,2.946785e-16
151,1.203015,0.000000,0.000000,1.203015,0.000000,0.203015,6.283185,-0.203015,2.957008e-16
152,1.207035,0.000000,0.000000,1.207035,0.000000,0.207035,6.283185,-0.207035,3.706058e-16
153,1.211055,0.000000,0.000000,1.211055,0.000000,0.211055,6.283185,-0.211055,2.977470e-16
154,1.215075,0.000000,0.000000,1.215075,0.000000,0.215075,6.283185,-0.215075,2.987709e-16
155,1.219095,0.000000,0.000000,1.219095,0.000000,0.219095,6.283185,-0.219095,2.997954e-16
156,1.223116,0.000000,0.000000,1.223116,0.000000,0.223116,6.283185,-0.223116,3.008204e-16
157,1.227136,0.000000,0.000000,1.227136,0.000000,0.227136,6.283185,-0.227136,3.018460e-16
158,1.231156,0.000000,0.000000,1.231156,0.000000,0.231156,6.283185,-0.231156,3.028720e-16
159,1.235176,0.000000,0.000000,1.235176,0.000000,0.235176,6.283185,-0.235176,3.038987e-16
160,1.239196,0.000000,0.000000,1.239196,0.000000,0.239196,6.283185,-0.239196,3.049258e-16
161,1.243216,0.000000,0.000000,1.243216,0.000000,0.243216,6.283185,-0.243216,3.780361e-16
162,1.247236,0.000000,0.000000,1.247236,0.000000,0.247236,6.283185,-0.247236,3.069816e-16
163,1.251256,0.000000,0.000000,1.251256,0.000000,0.251256,6.283185,-0.251256,3.080102e-16
164,1.255276,0.000000,0.000000,1.255276,0.000000,0.255276,6.283185,-0.255276,3.090394e-16
165,1.259296,0.000000,0.000000,1.259296,0.000000,0.259296,6.283185,-0.259296,3.813746e-16
166,1.263317,0.000000,0.000000,1.263317,0.000000,0.263317,6.283185,-0.263317,3.110991e-16
167,1.267337,0.000000,0.000000,1.267337,0.000000,0.267337,6.283185,-0.267337,3.121297e-16
168,1.271357,0.000000,0.000000,1.271357,0.000000,0.271357,6.283185,-0.271357,3.131608e-16
169,1.275377,0.000000,0.000000,1.275377,0.000000,0.275377,6.283185,-0.275377,3.847345e-16
170,1.279397,0.000000,0.000000,1.279397,0.000000,0.279397,6.283185,-0.279397,3.152244e-16
171,1.283417,0.000000,0.000000,1.283417,0.000000,0.283417,6.283185,-0.283417,3.162569e-16
172,1.287437,0.000000,0.000000,1.287437,0.000000,0.287437,6.283185,-0.287437,3.172898e-16
173,1.291457,0.000000,0.000000,1.291457,0.000000,0.291457,6.283185,-0.291457,3.183233e-16
174,1.295477,0.000000,0.000000,1.295477,0.000000,0.295477,6.283185,-0.295477,3.193571e-16
175,1.299497,0.000000,0.000000,1.299497,0.000000,0.299497,6.283185,-0.299497,3.203914e-16
176,1.303518,0.000000,0.000000,1.303518,0.000000,0.303518,6.283185,-0.303518,3.214262e-16
177,1.307538,0.000000,0.000000,1.307538,0.000000,0.307538,6.283185,-0.307538,3.224614e-16
178,1.311558,0.000000,0.000000,1.311558,0.000000,0.311558,6.283185,-0.311558,3.234970e-16
179,1.315578,0.000000,0.000000,1.315578,0.000000,0.315578,6.283185,-0.315578,3.245330e-16
180,1.319598,0.000000,0.000000,1.319598,0.000000,0.319598,6.283185,-0.319598,3.255695e-16
181,1.323618,0.000000,0.000000,1.323618,0.000000,0.323618,6.283185,-0.323618,3.266064e-16
182,1.327638,0.000000,0.000000,1.327638,0.000000,0.327638,6.283185,-0.327638,3.276437e-16
183,1.331658,0.000000,0.000000,1.331658,0.000000,0.331658,6.283185,-0.331658,3.966551e-16
184,1.335678,0.000000,0.000000,1.335678,0.000000,0.335678,6.283185,-0.335678,3.297196e-16
185,1.339698,0.000000,0.000000,1.339698,0.000000,0.339698,6.283185,-0.339698,3.307581e-16
186,1.343719,0.000000,0.000000,1.343719,0.000000,0.343719,6.283185,-0.343719,3.992406e-16
187,1.347739,0.000000,0.000000,1.347739,0.000000,0.347739,6.283185,-0.347739,3.328364e-16
188,1.351759,0.000000,0.000000,1.351759,0.000000,0.351759,6.283185,-0.351759,3.338761e-16
189,1.355779,0.000000,0.000000,1.355779,0.000000,0.355779,6.283185,-0.355779,3.349163e-16
190,1.359799,0.000000,0.000000,1.359799,0.000000,0.359799,6.283185,-0.359799,4.027043e-16
191,1.363819,0.000000,0.000000,1.363819,0.000000,0.363819,6.283185,-0.363819,3.369977e-16
192,1.367839,0.000000,0.000000,1.367839,0.000000,0.367839,6.283185,-0.367839,3.380389e-16
193,1.371859,0.000000,0.000000,1.371859,0.000000,0.371859,6.283185,-0.371859,3.390806e-16
194,1.375879,0.000000,0.000000,1.375879,0.000000,0.375879,6.283185,-0.375879,4.061862e-16
195,1.379899,0.000000,0.000000,1.379899,0.000000,0.379899,6.283185,-0.379899,3.411650e-16
196,1.383920,0.000000,0.000000,1.383920,0.000000,0.383920,6.283185,-0.383920,3.422078e-16
197,1.387940,0.000000,0.000000,1.387940,0.000000,0.387940,6.283185,-0.387940,3.432509e-16
198,1.391960,0.000000,0.000000,1.391960,0.000000,0.391960,6.283185,-0.391960,3.442944e-16
199,1.395980,0.000000,0.000000,1.395980,0.000000,0.395980,6.283185,-0.395980,3.453382e-16
200,1.400000,0.000000,0.000000,1.400000,0.000000,0.400000,6.283185,-0.400000,3.463824e-16
